taxa	binary_loc
New_NHP|2505|Brazil|SP|Mairipora|NP|Alouatta|2017-11-16	Other
New_NHP|73635|Brazil|SP|Mairipora|Alouatta|2017-11-28	Other
New_NHP|73946|Brazil|SP|Mairipora|Alouatta|2017-12-08	Other
New_NHP|75358|Brazil|SP|Mairipora|Callithrix_aurita|2018-01-24	Other
New_mosquitoes|pool119|Brazil|SP|SaoPaulo_PEAL|2018-01-05	PEAL
New_mosquitoes|pool120|Brazil|SP|SaoPaulo_PEAL|2018-01-05	PEAL
New_mosquitoes|pool177|Brazil|SP|SaoPaulo_PEAL|2018-01-11	PEAL
New_mosquitoes|pool182|Brazil|SP|SaoPaulo_PEAL|2018-01-11	PEAL
New_mosquitoes|pool192|Brazil|SP|SaoPaulo_PEAL|2018-01-11	PEAL
New_mosquitoes|pool24|Brazil|SP|SaoPaulo_PEAL|2017-12-26	PEAL
New_mosquitoes|pool66|Brazil|SP|SaoPaulo_PEAL|2018-01-03	PEAL
New_mosquitoes|pool81|Brazil|SP|SaoPaulo_PEAL|2018-01-04	PEAL
New_mosquitoes|pool95|Brazil|SP|SaoPaulo_PEAL|2018-01-04	PEAL
New_NHP|2684|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-16	PEAL
New_NHP|2688|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-17	PEAL
New_NHP|2694|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-19	PEAL
New_NHP|2707|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-12	PEAL
New_NHP|2725|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-21	PEAL
New_NHP|2731|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-20	PEAL
New_NHP|2742|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-22	PEAL
New_NHP|2743|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-22	PEAL
New_NHP|2754|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-26	PEAL
New_NHP|2786|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-23	PEAL
New_NHP|2877|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-27	PEAL
New_NHP|74213|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-15	PEAL
New_NHP|74300|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-18	PEAL
New_NHP|74301|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-19	PEAL
New_NHP|74327|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-20	PEAL
New_NHP|74329|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-20	PEAL
New_NHP|74347|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-21	PEAL
New_NHP|74348|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-21	PEAL
New_NHP|74405|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-22	PEAL
New_NHP|74417|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-24	PEAL
New_NHP|74418|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-24	PEAL
New_NHP|74419|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-24	PEAL
New_NHP|74427|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-25	PEAL
New_NHP|74454|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-23	PEAL
New_NHP|74456|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-26	PEAL
New_NHP|74513|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-27	PEAL
New_NHP|74631|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-28	PEAL
